 0.00729927 0.021881837 0.010844307 0.022127053 0.055061657 
antonio 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
excellent 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 0.0020074563 
younger 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 5.735589E-4 
fairly 9.1240875E-4 7.293946E-4 0.0015491867 0.0014275517 2.8677945E-4 
stetina 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
possess 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
rockmetal 9.1240875E-4 7.293946E-4 0.0015491867 7.1377587E-4 2.8677945E-4 
whithin 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
n_easy 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
version 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 5.735589E-4 
click 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
applies 9.1240875E-4 0.0021881838 7.745933E-4 7.1377587E-4 2.8677945E-4 
walkin 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
moore 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
left 9.1240875E-4 0.0021881838 0.0015491867 0.0014275517 8.603384E-4 
guess 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 0.0011471178 
detail 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 5.735589E-4 
drums 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 8.603384E-4 
densities 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
revived 9.1240875E-4 7.293946E-4 0.0015491867 7.1377587E-4 5.735589E-4 
brozman 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 8.603384E-4 
object 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
wind 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
humble 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 8.603384E-4 
bodouch 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
chapter 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
telling 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
accessible 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
spends 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
C 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
D 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 2.8677945E-4 
chapters 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 5.735589E-4 
achieve 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
ahead 0.0018248175 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
G 9.1240875E-4 0.0021881838 7.745933E-4 7.1377587E-4 2.8677945E-4 
talking 9.1240875E-4 0.0014587892 7.745933E-4 0.0021413276 5.735589E-4 
turn 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 8.603384E-4 
licks 9.1240875E-4 0.0029175784 0.0030983733 0.0071377587 0.005735589 
weekly 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
vocabulary 9.1240875E-4 7.293946E-4 7.745933E-4 0.0021413276 5.735589E-4 
S 0.0018248175 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
plush 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
shredders 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
BY 0.0018248175 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
X 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
tremoli 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
musician 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 0.0011471178 
close 0.0018248175 7.293946E-4 0.0015491867 0.0014275517 2.8677945E-4 
hand 9.1240875E-4 0.0021881838 0.00232378 0.0021413276 5.735589E-4 
editorial 9.1240875E-4 0.0021881838 7.745933E-4 7.1377587E-4 2.8677945E-4 
sweep 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 8.603384E-4 
CD 9.1240875E-4 7.293946E-4 0.0015491867 0.0021413276 0.0037281332 
address 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
n_sure 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
d 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 0.0022942356 
terryfying 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
learn 0.0018248175 0.0021881838 0.0015491867 0.0021413276 0.0040149125 
posture 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 2.8677945E-4 
artistic 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
mechanics 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
riffs 0.0018248175 0.0021881838 7.745933E-4 0.0014275517 2.8677945E-4 
m 9.1240875E-4 0.0021881838 0.0015491867 0.0014275517 0.0020074563 
neighbor 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
sale 0.0018248175 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
s 9.1240875E-4 0.0065645515 0.0038729666 0.0078515345 0.014625752 
fast 9.1240875E-4 0.0014587892 0.0030983733 0.0014275517 0.0025810152 
speaks 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
exciting 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
thank 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 0.0017206768 
days 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 0.0011471178 
y 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 8.603384E-4 
information 9.1240875E-4 7.293946E-4 0.0015491867 7.1377587E-4 5.735589E-4 
n_comprehensive 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
standard 9.1240875E-4 0.0014587892 7.745933E-4 7.1377587E-4 2.8677945E-4 
violent 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
wheels 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
harmony 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
couple 9.1240875E-4 0.0014587892 7.745933E-4 7.1377587E-4 5.735589E-4 
illuminating 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
notes 9.1240875E-4 0.0021881838 0.0015491867 0.0014275517 5.735589E-4 
correct 9.1240875E-4 0.0014587892 7.745933E-4 7.1377587E-4 2.8677945E-4 
n_further 9.1240875E-4 0.0014587892 7.745933E-4 7.1377587E-4 5.735589E-4 
good 9.1240875E-4 0.0014587892 0.00697134 0.005710207 0.0051620305 
DISAPPOINTED 0.0018248175 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
favior 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
wish 9.1240875E-4 0.0014587892 0.0015491867 0.0021413276 2.8677945E-4 
thispiece 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
tabulature 9.1240875E-4 7.293946E-4 0.0015491867 7.1377587E-4 2.8677945E-4 
technque 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
anyboby 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
myriad 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
shred 9.1240875E-4 0.0014587892 7.745933E-4 0.0014275517 0.0028677946 
serious 9.1240875E-4 7.293946E-4 0.0015491867 7.1377587E-4 0.0011471178 
skipping 9.1240875E-4 0.0021881838 7.745933E-4 7.1377587E-4 0.0011471178 
EC 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 0.0014338973 
area 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 8.603384E-4 
add 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 5.735589E-4 
sviatoslav 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
making 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 8.603384E-4 
informative 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 5.735589E-4 
harmonytheory 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 2.8677945E-4 
stretchesintervals 9.1240875E-4 0.0014587892 7.745933E-4 7.1377587E-4 2.8677945E-4 
check 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 0.0011471178 
n_inspired 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 2.8677945E-4 
lack 9.1240875E-4 7.293946E-4 0.0015491867 7.1377587E-4 2.8677945E-4 
volume 9.1240875E-4 0.0014587892 7.745933E-4 7.1377587E-4 8.603384E-4 
neglected 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
materials 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 8.603384E-4 
gorgeous 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
authority 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
scenes 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
useful 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 5.735589E-4 
wacky 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
technical 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 5.735589E-4 
young 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 8.603384E-4 
production 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 8.603384E-4 
instrument 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
choose 9.1240875E-4 0.0014587892 7.745933E-4 7.1377587E-4 5.735589E-4 
guitarists 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
fingering 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
miles 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 8.603384E-4 
offs 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 8.603384E-4 
hendrix 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
vol 9.1240875E-4 7.293946E-4 7.745933E-4 0.0021413276 8.603384E-4 
expanded 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
romantic 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
attentiongrabbing 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
end 9.1240875E-4 0.0021881838 7.745933E-4 7.1377587E-4 2.8677945E-4 
treasure 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
hard 0.0018248175 7.293946E-4 0.0015491867 7.1377587E-4 8.603384E-4 
projection 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
lines 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 0.0011471178 
live 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 0.0014338973 
mistake 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 5.735589E-4 
personaly 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
ticket 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
practicing 9.1240875E-4 0.0014587892 7.745933E-4 7.1377587E-4 0.0011471178 
multiple 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 8.603384E-4 
perform 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
improvement 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 8.603384E-4 
room 9.1240875E-4 0.0014587892 7.745933E-4 7.1377587E-4 5.735589E-4 
penmanship 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
better 9.1240875E-4 0.0021881838 0.00232378 7.1377587E-4 0.0011471178 
performaces 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 2.8677945E-4 
complaint 0.0018248175 7.293946E-4 7.745933E-4 0.0014275517 2.8677945E-4 
well 9.1240875E-4 0.0014587892 7.745933E-4 0.0014275517 0.004301692 
handling 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
suitable 9.1240875E-4 7.293946E-4 0.0015491867 7.1377587E-4 2.8677945E-4 
pickups 0.0027372262 0.0021881838 0.0015491867 7.1377587E-4 2.8677945E-4 
koch 9.1240875E-4 7.293946E-4 0.0015491867 7.1377587E-4 2.8677945E-4 
dockmexican 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
n_dvd 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
n_talk 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
enjoyed 9.1240875E-4 7.293946E-4 7.745933E-4 0.0021413276 8.603384E-4 
taking 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 5.735589E-4 
tapes 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 8.603384E-4 
terrifying 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
SOMEONE 0.0018248175 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
bettered 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
called 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
considered 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
pile 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
ago 9.1240875E-4 0.0014587892 7.745933E-4 0.0014275517 0.0011471178 
premiered 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
focus 9.1240875E-4 7.293946E-4 0.0015491867 7.1377587E-4 5.735589E-4 
purchsed 9.1240875E-4 7.293946E-4 0.0015491867 7.1377587E-4 2.8677945E-4 
n_show 0.0018248175 0.0014587892 7.745933E-4 7.1377587E-4 2.8677945E-4 
entire 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
approach 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
years 9.1240875E-4 0.0029175784 0.0015491867 0.0021413276 0.0051620305 
egyptologist 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
n_buy 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
loved 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
concise 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
chills 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
phrasing 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 0.0011471178 
write 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
order 9.1240875E-4 0.0014587892 7.745933E-4 0.0014275517 8.603384E-4 
II 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
period 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
musical 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 0.0011471178 
IN 0.0018248175 7.293946E-4 0.0015491867 7.1377587E-4 2.8677945E-4 
loyalty 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
understand 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 0.0014338973 
STYLE 0.0018248175 7.293946E-4 0.0015491867 7.1377587E-4 2.8677945E-4 
volumes 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 8.603384E-4 
handle 9.1240875E-4 0.0014587892 7.745933E-4 0.0014275517 2.8677945E-4 
IT 0.0027372262 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
slowly 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 8.603384E-4 
heaven 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
n_one 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
sonata 9.1240875E-4 7.293946E-4 0.0015491867 7.1377587E-4 2.8677945E-4 
innovator 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
cords 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
leadwhat 9.1240875E-4 0.0014587892 7.745933E-4 7.1377587E-4 2.8677945E-4 
million 9.1240875E-4 0.0014587892 7.745933E-4 7.1377587E-4 2.8677945E-4 
install 0.0018248175 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
strongly 9.1240875E-4 0.0014587892 7.745933E-4 7.1377587E-4 2.8677945E-4 
fundamentals 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
gun 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
n_play 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 8.603384E-4 
JP 9.1240875E-4 7.293946E-4 7.745933E-4 0.0021413276 2.8677945E-4 
gut 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
save 0.0018248175 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
musicianship 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 8.603384E-4 
turnaround 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 5.735589E-4 
booklet 9.1240875E-4 7.293946E-4 0.0015491867 7.1377587E-4 5.735589E-4 
guy 9.1240875E-4 0.0014587892 0.0015491867 7.1377587E-4 2.8677945E-4 
matter 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 8.603384E-4 
instant 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
disgusted 0.0018248175 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
top 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
listens 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
era 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 8.603384E-4 
kinda 9.1240875E-4 0.0014587892 7.745933E-4 7.1377587E-4 2.8677945E-4 
unforgiving 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 2.8677945E-4 
pgs 9.1240875E-4 7.293946E-4 0.0015491867 7.1377587E-4 2.8677945E-4 
harmonic 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
gilbert 9.1240875E-4 7.293946E-4 7.745933E-4 0.0021413276 0.0025810152 
product 9.1240875E-4 7.293946E-4 0.0015491867 7.1377587E-4 8.603384E-4 
n_give 9.1240875E-4 0.0014587892 7.745933E-4 0.0014275517 2.8677945E-4 
additions 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
willie 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
bought 9.1240875E-4 0.0029175784 0.0015491867 7.1377587E-4 0.0020074563 
lover 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
loves 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
litte 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
intricatedifficult 9.1240875E-4 0.0014587892 7.745933E-4 7.1377587E-4 2.8677945E-4 
opportunities 9.1240875E-4 7.293946E-4 0.0015491867 7.1377587E-4 2.8677945E-4 
ferneyhough 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 8.603384E-4 
anywaydavid 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 2.8677945E-4 
names 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 2.8677945E-4 
movement 9.1240875E-4 7.293946E-4 0.0015491867 7.1377587E-4 5.735589E-4 
n_match 9.1240875E-4 7.293946E-4 0.0015491867 7.1377587E-4 2.8677945E-4 
minor 9.1240875E-4 0.0014587892 0.00232378 0.0014275517 0.0014338973 
cos 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
n_be 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
chops 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 8.603384E-4 
tempo 9.1240875E-4 0.0014587892 0.0015491867 7.1377587E-4 2.8677945E-4 
screen 9.1240875E-4 7.293946E-4 0.0015491867 7.1377587E-4 5.735589E-4 
cow 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 2.8677945E-4 
employed 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
glean 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
biggest 9.1240875E-4 7.293946E-4 0.0015491867 7.1377587E-4 2.8677945E-4 
earlier 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
RETURNED 0.0018248175 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
metronome 9.1240875E-4 7.293946E-4 0.00232378 7.1377587E-4 8.603384E-4 
mslevine 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
techniqueswith 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
intense 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 0.0017206768 
frontiers 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
terror 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
including 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 0.0011471178 
read 9.1240875E-4 7.293946E-4 0.0015491867 7.1377587E-4 8.603384E-4 
lay 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
n_more 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
introducing 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
acoustic 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 0.0022942356 
coleccioacuten 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
pardon 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
plenty 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 0.0011471178 
positions 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 8.603384E-4 
real 9.1240875E-4 7.293946E-4 0.0015491867 0.0021413276 0.0011471178 
munich 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
HIGHLY 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
timesthis 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
n_done 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
pleasures 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
racer 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 8.603384E-4 
improve 9.1240875E-4 7.293946E-4 0.00232378 7.1377587E-4 8.603384E-4 
n_enjoy 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 2.8677945E-4 
scales 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 0.0031545742 
filigreed 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
naming 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 2.8677945E-4 
basic 9.1240875E-4 0.0021881838 0.0015491867 0.0021413276 8.603384E-4 
emanate 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
entertaining 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 2.8677945E-4 
locate 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
